RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Transference Focused Psychotherapy_NoM,1.0290188142401149,0.20435668455026318,0.7650759770326897,0,0.085520711797774,0,0.19858837008443533,2,1.0,96,0.041666666666666664,0.17913745014725435,0.025219234403008828,0.9791666666666666,0.205905896692579
RMD_Anorexia Nervosa_NoM,PT_Trauma Focused Cbt_NoM,1.0347916744303782,0.3364995971700419,0.3768106101983318,6,0.49713150260652234,6,0.166909688838386,1,1.0,96,0.08333333333333333,0.11012052393482424,0.22637907323521766,0.9583333333333334,0.33369835736737147
RMD_Anorexia Nervosa_NoM,PT_Vagus Nerve Stimulation_NoM,1.0344644758623411,0.22026255082560808,0.7642001985373683,0,0.2243465178259244,6,0.1931980180340598,5,0.6666666666666666,96,0.14583333333333334,0.1548337945746764,0.0654287562509317,0.9270833333333334,0.21123944576125447
RMD_Anorexia Nervosa_NoM,PT_Virtual Reality Exposure Therapy_NoM,1.0425453297665597,0.21703420356492492,0.573345404659149,1,0.13602362266532367,1,0.3153241635835542,1,0.6666666666666666,96,0.125,0.15178133455084672,0.0652528690140782,0.9375,0.2121262456183287
RMD_Anorexia Nervosa_NoM,PT_Vocal And Speech Biomarkers_NoM,1.0000017982359073,0.3256589924303094,0.16307932764688673,6,0.52458870821603,5,0.16285809104090493,5,1.0,63,0.041666666666666664,0.11411077153337743,0.21154822089693195,0.9791666666666666,0.31887500349946135
RMD_Anorexia Nervosa_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,1.0216952129637111,0.0032001790220176447,0.0,0,0.0,0,0.010667263406725483,2,0.3333333333333333,96,0.0625,0.13190324272869355,0.0,0.96875,0.003167432350315371
RMD_Antisocial Personality Disorder_NoM,PT_Acceptance And Commitment Therapy_NoM,1.0536709446106818,0.2909042893635525,0.619394215474217,0,0.5447050807781949,0,0.09339653186367479,2,0.6666666666666666,96,0.1875,0.230247327246012,0.060656962117540514,0.90625,0.2777813913620253
RMD_Antisocial Personality Disorder_NoM,PT_Animal Assisted Therapy_NoM,1.014848791053111,0.08249735963512574,0.5836350279601609,0,0.0,0,0.09029628614696619,0,0.6666666666666666,96,0.14583333333333334,0.15209071239172745,0.0,0.9270833333333334,0.07761759131749496
RMD_Antisocial Personality Disorder_NoM,PT_Anticonvulsant Therapy_NoM,1.015357992649623,0.19173096176581483,0.40025693035255283,0,0.2562899131574372,0,0.08083290624380622,1,1.0,78,0.125,0.13966757469983454,0.05206338706598029,0.9375,0.18250834168811192
RMD_Antisocial Personality Disorder_NoM,PT_Antidepressants_NoM,1.1,0.017211198401682965,0.05495809991493843,0,0.0,0,0.033683617978946034,6,0.6666666666666666,96,0.14583333333333334,0.13750302433536565,0.0,0.9270833333333334,0.017551836703382943
